Ano;Matrícula;Avaliação
31/12/2016;4997;4,5
31/12/2016;4336;3,5
31/12/2016;4951;4
31/12/2016;3810;3
31/12/2016;4862;2,5
31/12/2016;4542;3
31/12/2016;5039;4,5
31/12/2016;3136;5
31/12/2016;4118;2,5
31/12/2016;3694;4,5
31/12/2016;3746;5
31/12/2016;3233;2
31/12/2016;3521;2,5
31/12/2016;3023;3
31/12/2016;3401;4,5
31/12/2016;4373;4,5
31/12/2016;3838;4,5
31/12/2016;3053;2,5
31/12/2016;3582;2,5
31/12/2016;4503;3
31/12/2016;4942;4,5
31/12/2016;3293;2
31/12/2016;4549;4,5
31/12/2016;3721;2
31/12/2016;3877;2,5
31/12/2016;3253;4
31/12/2016;3573;5
31/12/2016;4679;4,5
31/12/2016;3926;4,5
31/12/2016;3120;2,5
31/12/2016;3563;3
