Ano;Matrícula;Avaliação
31/12/2019;4997;3,5
31/12/2019;4336;4
31/12/2019;4951;5
31/12/2019;3810;4,5
31/12/2019;4862;4
31/12/2019;4542;2,5
31/12/2019;5039;3
31/12/2019;3136;3,5
31/12/2019;4118;4
31/12/2019;3694;4,5
31/12/2019;3233;3
31/12/2019;3521;4,5
31/12/2019;3401;4,5
31/12/2019;4373;4,5
31/12/2019;3838;5
31/12/2019;3053;2,5
31/12/2019;3582;4,5
31/12/2019;4503;5
31/12/2019;4942;5
31/12/2019;3293;4,5
31/12/2019;4549;5
31/12/2019;3721;5
31/12/2019;3877;4,5
31/12/2019;3253;4,5
31/12/2019;4679;4,5
31/12/2019;3926;5
31/12/2019;3563;4
31/12/2019;5053;3,5
31/12/2019;4670;2
31/12/2019;4662;2,5
31/12/2019;4236;3,5
31/12/2019;3389;4,5
31/12/2019;4806;2
31/12/2019;4472;2
31/12/2019;3944;4,5
31/12/2019;4170;5
31/12/2019;3748;5
31/12/2019;3124;2,5
31/12/2019;3171;3,5
31/12/2019;3280;2,5
31/12/2019;3462;2,5
31/12/2019;3571;5
31/12/2019;4342;4,5
31/12/2019;4483;3
31/12/2019;3164;2,5
31/12/2019;4988;3,5
31/12/2019;5059;2
31/12/2019;3714;5
31/12/2019;3971;4
31/12/2019;3686;4,5
31/12/2019;3483;5
31/12/2019;4993;4,5
31/12/2019;3132;4,5
31/12/2019;3534;3
31/12/2019;4751;4,5
31/12/2019;5070;3,5
31/12/2019;3237;2,5
31/12/2019;3495;2,5
31/12/2019;3716;5
31/12/2019;3374;5
31/12/2019;3683;5
31/12/2019;5028;2,5
31/12/2019;4474;5
31/12/2019;4584;4,5
31/12/2019;4219;4,5
31/12/2019;4067;5
