Ano;Matrícula;Avaliação
31/12/2017;4997;4,5
31/12/2017;4336;5
31/12/2017;4951;3,5
31/12/2017;3810;2,5
31/12/2017;4862;3
31/12/2017;4542;4,5
31/12/2017;5039;5
31/12/2017;3136;3,5
31/12/2017;4118;4
31/12/2017;3694;2
31/12/2017;3233;4,5
31/12/2017;3521;4
31/12/2017;3401;4,5
31/12/2017;4373;4,5
31/12/2017;3838;2,5
31/12/2017;3053;4,5
31/12/2017;3582;4,5
31/12/2017;4503;4,5
31/12/2017;4942;2,5
31/12/2017;3293;4,5
31/12/2017;4549;2,5
31/12/2017;3721;2
31/12/2017;3877;4
31/12/2017;3253;4,5
31/12/2017;3573;2,5
31/12/2017;4679;2
31/12/2017;3926;4,5
31/12/2017;3120;3
31/12/2017;3563;5
31/12/2017;5053;4
31/12/2017;4670;3
31/12/2017;4662;4,5
31/12/2017;4236;5
31/12/2017;3389;4,5
31/12/2017;4806;4,5
31/12/2017;4472;5
31/12/2017;3944;5
31/12/2017;4170;4,5
31/12/2017;3748;4
31/12/2017;3124;4,5
31/12/2017;3171;2,5
31/12/2017;3280;2,5
31/12/2017;3462;2
31/12/2017;3571;4,5
31/12/2017;4342;4
31/12/2017;4483;4,5
31/12/2017;3164;5
31/12/2017;4988;4,5
31/12/2017;5059;3
31/12/2017;3714;4,5
31/12/2017;3971;3,5
31/12/2017;3686;5
31/12/2017;3483;2,5
