Ano 2017;;;
;;;
Matricula;Mês/Ano;Lançamento;Valor
3023;1;VT;135
3023;1;VR;26,7
3023;1;AM;182
3053;1;VT;135
3053;1;VR;26,7
3053;1;AM;182
3090;1;VR;26,7
3090;1;AM;182
3090;1;AO;94,6
3120;1;VT;135
3120;1;VR;26,7
3120;1;AM;182
3136;1;VR;26,7
3136;1;AM;182
3136;1;AO;94,6
3233;1;VT;135
3233;1;VR;26,7
3253;1;VT;270
3253;1;VR;26,7
3253;1;AM;182
3293;1;VT;135
3293;1;VR;26,7
3293;1;AM;182
3293;1;AO;94,6
3401;1;VR;26,7
3401;1;AM;182
3401;1;AO;94,6
3521;1;VT;135
3521;1;VR;26,7
3573;1;VT;270
3573;1;VR;26,7
3573;1;AM;182
3582;1;VT;135
3582;1;VR;26,7
3694;1;VT;270
3694;1;VR;26,7
3694;1;AM;182
3721;1;VT;270
3721;1;VR;26,7
3721;1;AM;182
3746;1;VT;135
3746;1;VR;26,7
3746;1;AM;182
3810;1;VT;270
3810;1;VR;26,7
3810;1;AM;182
3838;1;VT;135
3838;1;VR;26,7
3838;1;AM;182
3877;1;VT;270
3877;1;VR;26,7
3877;1;AM;182
3926;1;VT;135
3926;1;VR;26,7
3926;1;AM;182
4118;1;VT;270
4118;1;VR;26,7
4118;1;AM;182
4336;1;VR;26,7
4336;1;AM;182
4373;1;VT;135
4373;1;VR;26,7
4373;1;AM;182
4503;1;VT;135
4503;1;VR;26,7
4503;1;AM;182
4542;1;VT;135
4542;1;VR;26,7
4542;1;AM;182
4542;1;AO;94,6
4549;1;VT;270
4549;1;VR;26,7
4549;1;AM;182
4670;1;VT;135
4670;1;VR;26,7
4942;1;VT;135
4942;1;VR;26,7
4942;1;AM;182
4951;1;VT;270
4951;1;VR;26,7
4997;1;VT;135
4997;1;VR;26,7
4997;1;AM;182
5039;1;VT;270
5039;1;VR;26,7
5053;1;VT;270
5053;1;VR;26,7
5053;1;AM;182
5053;1;VT;270
5053;1;VR;26,7
5053;1;AM;182
4670;1;VT;135
4670;1;VR;26,7
3023;2;VT;135
3023;2;VR;26,7
3023;2;AM;182
3053;2;VT;135
3053;2;VR;26,7
3053;2;AM;182
3090;2;VR;26,7
3090;2;AM;182
3090;2;AO;94,6
3120;2;VT;135
3120;2;VR;26,7
3120;2;AM;182
3136;2;VR;26,7
3136;2;AM;182
3136;2;AO;94,6
3233;2;VT;135
3233;2;VR;26,7
3253;2;VT;270
3253;2;VR;26,7
3253;2;AM;182
3293;2;VT;135
3293;2;VR;26,7
3293;2;AM;182
3293;2;AO;94,6
3401;2;VR;26,7
3401;2;AM;182
3401;2;AO;94,6
3521;2;VT;135
3521;2;VR;26,7
3573;2;VT;270
3573;2;VR;26,7
3573;2;AM;182
3582;2;VT;135
3582;2;VR;26,7
3694;2;VT;270
3694;2;VR;26,7
3694;2;AM;182
3721;2;VT;270
3721;2;VR;26,7
3721;2;AM;182
3746;2;VT;135
3746;2;VR;26,7
3746;2;AM;182
3810;2;VT;270
3810;2;VR;26,7
3810;2;AM;182
3838;2;VT;135
3838;2;VR;26,7
3838;2;AM;182
3877;2;VT;270
3877;2;VR;26,7
3877;2;AM;182
3926;2;VT;135
3926;2;VR;26,7
3926;2;AM;182
4118;2;VT;270
4118;2;VR;26,7
4118;2;AM;182
4336;2;VR;26,7
4336;2;AM;182
4373;2;VT;135
4373;2;VR;26,7
4373;2;AM;182
4503;2;VT;135
4503;2;VR;26,7
4503;2;AM;182
4542;2;VT;135
4542;2;VR;26,7
4542;2;AM;182
4542;2;AO;94,6
4549;2;VT;270
4549;2;VR;26,7
4549;2;AM;182
4662;2;VT;270
4662;2;VR;26,7
4662;2;AM;182
4670;2;VT;135
4670;2;VR;26,7
4942;2;VT;135
4942;2;VR;26,7
4942;2;AM;182
4951;2;VT;270
4951;2;VR;26,7
4997;2;VT;135
4997;2;VR;26,7
4997;2;AM;182
5039;2;VT;270
5039;2;VR;26,7
5053;2;VT;270
5053;2;VR;26,7
5053;2;AM;182
4662;2;VT;270
4662;2;VR;26,7
4662;2;AM;182
3023;3;VT;135
3023;3;VR;26,7
3023;3;AM;182
3053;3;VT;135
3053;3;VR;26,7
3053;3;AM;182
3090;3;VR;26,7
3090;3;AM;182
3090;3;AO;94,6
3120;3;VT;135
3120;3;VR;26,7
3120;3;AM;182
3136;3;VR;26,7
3136;3;AM;182
3136;3;AO;94,6
3233;3;VT;135
3233;3;VR;26,7
3253;3;VT;270
3253;3;VR;26,7
3253;3;AM;182
3293;3;VT;135
3293;3;VR;26,7
3293;3;AM;182
3293;3;AO;94,6
3389;3;VT;270
3389;3;VR;26,7
3389;3;AM;182
3401;3;VR;26,7
3401;3;AM;182
3401;3;AO;94,6
3521;3;VT;135
3521;3;VR;26,7
3573;3;VT;270
3573;3;VR;26,7
3573;3;AM;182
3582;3;VT;135
3582;3;VR;26,7
3694;3;VT;270
3694;3;VR;26,7
3694;3;AM;182
3721;3;VT;270
3721;3;VR;26,7
3721;3;AM;182
3746;3;VT;135
3746;3;VR;26,7
3746;3;AM;182
3810;3;VT;270
3810;3;VR;26,7
3810;3;AM;182
3838;3;VT;135
3838;3;VR;26,7
3838;3;AM;182
3877;3;VT;270
3877;3;VR;26,7
3877;3;AM;182
3926;3;VT;135
3926;3;VR;26,7
3926;3;AM;182
4118;3;VT;270
4118;3;VR;26,7
4118;3;AM;182
4236;3;VT;135
4236;3;VR;26,7
4236;3;AM;182
4236;3;AO;94,6
4336;3;VR;26,7
4336;3;AM;182
4373;3;VT;135
4373;3;VR;26,7
4373;3;AM;182
4503;3;VT;135
4503;3;VR;26,7
4503;3;AM;182
4542;3;VT;135
4542;3;VR;26,7
4542;3;AM;182
4542;3;AO;94,6
4549;3;VT;270
4549;3;VR;26,7
4549;3;AM;182
4662;3;VT;270
4662;3;VR;26,7
4662;3;AM;182
4670;3;VT;135
4670;3;VR;26,7
4806;3;VT;135
4806;3;VR;26,7
4806;3;AM;182
4942;3;VT;135
4942;3;VR;26,7
4942;3;AM;182
4951;3;VT;270
4951;3;VR;26,7
4997;3;VT;135
4997;3;VR;26,7
4997;3;AM;182
5039;3;VT;270
5039;3;VR;26,7
5053;3;VT;270
5053;3;VR;26,7
5053;3;AM;182
4236;3;VT;135
4236;3;VR;26,7
4236;3;AM;182
4236;3;AO;94,6
3389;3;VT;270
3389;3;VR;26,7
3389;3;AM;182
4806;3;VT;135
4806;3;VR;26,7
4806;3;AM;182
3023;4;VT;135
3023;4;VR;26,7
3023;4;AM;182
3053;4;VT;135
3053;4;VR;26,7
3053;4;AM;182
3090;4;VR;26,7
3090;4;AM;182
3090;4;AO;94,6
3120;4;VT;135
3120;4;VR;26,7
3120;4;AM;182
3136;4;VR;26,7
3136;4;AM;182
3136;4;AO;94,6
3233;4;VT;135
3233;4;VR;26,7
3253;4;VT;270
3253;4;VR;26,7
3253;4;AM;182
3293;4;VT;135
3293;4;VR;26,7
3293;4;AM;182
3293;4;AO;94,6
3389;4;VT;270
3389;4;VR;26,7
3389;4;AM;182
3401;4;VR;26,7
3401;4;AM;182
3401;4;AO;94,6
3521;4;VT;135
3521;4;VR;26,7
3573;4;VT;270
3573;4;VR;26,7
3573;4;AM;182
3582;4;VT;135
3582;4;VR;26,7
3694;4;VT;270
3694;4;VR;26,7
3694;4;AM;182
3721;4;VT;270
3721;4;VR;26,7
3721;4;AM;182
3746;4;VT;135
3746;4;VR;26,7
3746;4;AM;182
3810;4;VT;270
3810;4;VR;26,7
3810;4;AM;182
3838;4;VT;135
3838;4;VR;26,7
3838;4;AM;182
3877;4;VT;270
3877;4;VR;26,7
3877;4;AM;182
3926;4;VT;135
3926;4;VR;26,7
3926;4;AM;182
4118;4;VT;270
4118;4;VR;26,7
4118;4;AM;182
4236;4;VT;135
4236;4;VR;26,7
4236;4;AM;182
4236;4;AO;94,6
4336;4;VR;26,7
4336;4;AM;182
4373;4;VT;135
4373;4;VR;26,7
4373;4;AM;182
4472;4;VT;270
4472;4;VR;26,7
4472;4;AM;182
4503;4;VT;135
4503;4;VR;26,7
4503;4;AM;182
4542;4;VT;135
4542;4;VR;26,7
4542;4;AM;182
4542;4;AO;94,6
4549;4;VT;270
4549;4;VR;26,7
4549;4;AM;182
4662;4;VT;270
4662;4;VR;26,7
4662;4;AM;182
4670;4;VT;135
4670;4;VR;26,7
4806;4;VT;135
4806;4;VR;26,7
4806;4;AM;182
4942;4;VT;135
4942;4;VR;26,7
4942;4;AM;182
4951;4;VT;270
4951;4;VR;26,7
4997;4;VT;135
4997;4;VR;26,7
4997;4;AM;182
5039;4;VT;270
5039;4;VR;26,7
5053;4;VT;270
5053;4;VR;26,7
5053;4;AM;182
4472;4;VT;270
4472;4;VR;26,7
4472;4;AM;182
3023;5;VT;135
3023;5;VR;26,7
3023;5;AM;182
3053;5;VT;135
3053;5;VR;26,7
3053;5;AM;182
3090;5;VR;26,7
3090;5;AM;182
3090;5;AO;94,6
3120;5;VT;135
3120;5;VR;26,7
3120;5;AM;182
3136;5;VR;26,7
3136;5;AM;182
3136;5;AO;94,6
3233;5;VT;135
3233;5;VR;26,7
3253;5;VT;270
3253;5;VR;26,7
3253;5;AM;182
3293;5;VT;135
3293;5;VR;26,7
3293;5;AM;182
3293;5;AO;94,6
3389;5;VT;270
3389;5;VR;26,7
3389;5;AM;182
3401;5;VR;26,7
3401;5;AM;182
3401;5;AO;94,6
3521;5;VT;135
3521;5;VR;26,7
3573;5;VT;270
3573;5;VR;26,7
3573;5;AM;182
3582;5;VT;135
3582;5;VR;26,7
3694;5;VT;270
3694;5;VR;26,7
3694;5;AM;182
3721;5;VT;270
3721;5;VR;26,7
3721;5;AM;182
3746;5;VT;135
3746;5;VR;26,7
3746;5;AM;182
3810;5;VT;270
3810;5;VR;26,7
3810;5;AM;182
3838;5;VT;135
3838;5;VR;26,7
3838;5;AM;182
3877;5;VT;270
3877;5;VR;26,7
3877;5;AM;182
3926;5;VT;135
3926;5;VR;26,7
3926;5;AM;182
4118;5;VT;270
4118;5;VR;26,7
4118;5;AM;182
4236;5;VT;135
4236;5;VR;26,7
4236;5;AM;182
4236;5;AO;94,6
4336;5;VR;26,7
4336;5;AM;182
4373;5;VT;135
4373;5;VR;26,7
4373;5;AM;182
4472;5;VT;270
4472;5;VR;26,7
4472;5;AM;182
4503;5;VT;135
4503;5;VR;26,7
4503;5;AM;182
4542;5;VT;135
4542;5;VR;26,7
4542;5;AM;182
4542;5;AO;94,6
4549;5;VT;270
4549;5;VR;26,7
4549;5;AM;182
4662;5;VT;270
4662;5;VR;26,7
4662;5;AM;182
4670;5;VT;135
4670;5;VR;26,7
4806;5;VT;135
4806;5;VR;26,7
4806;5;AM;182
4942;5;VT;135
4942;5;VR;26,7
4942;5;AM;182
4951;5;VT;270
4951;5;VR;26,7
4997;5;VT;135
4997;5;VR;26,7
4997;5;AM;182
5039;5;VT;270
5039;5;VR;26,7
5053;5;VT;270
5053;5;VR;26,7
5053;5;AM;182
3023;6;VT;135
3023;6;VR;26,7
3023;6;AM;182
3053;6;VT;135
3053;6;VR;26,7
3053;6;AM;182
3090;6;VR;26,7
3090;6;AM;182
3090;6;AO;94,6
3120;6;VT;135
3120;6;VR;26,7
3120;6;AM;182
3124;6;VT;270
3124;6;VR;26,7
3136;6;VR;26,7
3136;6;AM;182
3136;6;AO;94,6
3171;6;VT;270
3171;6;VR;26,7
3171;6;AM;182
3233;6;VT;135
3233;6;VR;26,7
3253;6;VT;270
3253;6;VR;26,7
3253;6;AM;182
3280;6;VT;270
3280;6;VR;26,7
3280;6;AM;182
3293;6;VT;135
3293;6;VR;26,7
3293;6;AM;182
3293;6;AO;94,6
3389;6;VT;270
3389;6;VR;26,7
3389;6;AM;182
3401;6;VR;26,7
3401;6;AM;182
3401;6;AO;94,6
3462;6;VT;135
3462;6;VR;26,7
3462;6;AM;182
3521;6;VT;135
3521;6;VR;26,7
3571;6;VT;270
3571;6;VR;26,7
3571;6;AM;182
3573;6;VT;270
3573;6;VR;26,7
3573;6;AM;182
3582;6;VT;135
3582;6;VR;26,7
3694;6;VT;270
3694;6;VR;26,7
3694;6;AM;182
3721;6;VT;270
3721;6;VR;26,7
3721;6;AM;182
3746;6;VT;135
3746;6;VR;26,7
3746;6;AM;182
3748;6;VT;270
3748;6;VR;26,7
3810;6;VT;270
3810;6;VR;26,7
3810;6;AM;182
3838;6;VT;135
3838;6;VR;26,7
3838;6;AM;182
3877;6;VT;270
3877;6;VR;26,7
3877;6;AM;182
3926;6;VT;135
3926;6;VR;26,7
3926;6;AM;182
3944;6;VT;135
3944;6;VR;26,7
3944;6;AM;182
3944;6;AO;94,6
4118;6;VT;270
4118;6;VR;26,7
4118;6;AM;182
4170;6;VT;135
4170;6;VR;26,7
4170;6;AM;182
4236;6;VT;135
4236;6;VR;26,7
4236;6;AM;182
4236;6;AO;94,6
4336;6;VR;26,7
4336;6;AM;182
4373;6;VT;135
4373;6;VR;26,7
4373;6;AM;182
4472;6;VT;270
4472;6;VR;26,7
4472;6;AM;182
