Ano 2016;;;
;;;
Matricula;Mês/Ano;Lançamento;Valor
3023;1;VT;135
3023;1;VR;26,7
3023;1;AM;182
3090;1;VR;26,7
3090;1;AM;182
3090;1;AO;94,6
3136;1;VR;26,7
3136;1;AM;182
3136;1;AO;94,6
3233;1;VT;135
3233;1;VR;26,7
3401;1;VR;26,7
3401;1;AM;182
3401;1;AO;94,6
3521;1;VT;135
3521;1;VR;26,7
3694;1;VT;270
3694;1;VR;26,7
3694;1;AM;182
3746;1;VT;135
3746;1;VR;26,7
3746;1;AM;182
3810;1;VT;270
3810;1;VR;26,7
3810;1;AM;182
4118;1;VT;270
4118;1;VR;26,7
4118;1;AM;182
4336;1;VR;26,7
4336;1;AM;182
4542;1;VT;135
4542;1;VR;26,7
4542;1;AM;182
4542;1;AO;94,6
4951;1;VT;270
4951;1;VR;26,7
4997;1;VT;135
4997;1;VR;26,7
4997;1;AM;182
5039;1;VT;270
5039;1;VR;26,7
3401;1;VR;26,7
3401;1;AM;182
3401;1;AO;94,6
3023;2;VT;135
3023;2;VR;26,7
3023;2;AM;182
3090;2;VR;26,7
3090;2;AM;182
3090;2;AO;94,6
3136;2;VR;26,7
3136;2;AM;182
3136;2;AO;94,6
3233;2;VT;135
3233;2;VR;26,7
3401;2;VR;26,7
3401;2;AM;182
3401;2;AO;94,6
3521;2;VT;135
3521;2;VR;26,7
3694;2;VT;270
3694;2;VR;26,7
3694;2;AM;182
3746;2;VT;135
3746;2;VR;26,7
3746;2;AM;182
3810;2;VT;270
3810;2;VR;26,7
3810;2;AM;182
4118;2;VT;270
4118;2;VR;26,7
4118;2;AM;182
4336;2;VR;26,7
4336;2;AM;182
4542;2;VT;135
4542;2;VR;26,7
4542;2;AM;182
4542;2;AO;94,6
4951;2;VT;270
4951;2;VR;26,7
4997;2;VT;135
4997;2;VR;26,7
4997;2;AM;182
5039;2;VT;270
5039;2;VR;26,7
3023;3;VT;135
3023;3;VR;26,7
3023;3;AM;182
3053;3;VT;135
3053;3;VR;26,7
3053;3;AM;182
3090;3;VR;26,7
3090;3;AM;182
3090;3;AO;94,6
3136;3;VR;26,7
3136;3;AM;182
3136;3;AO;94,6
3233;3;VT;135
3233;3;VR;26,7
3401;3;VR;26,7
3401;3;AM;182
3401;3;AO;94,6
3521;3;VT;135
3521;3;VR;26,7
3694;3;VT;270
3694;3;VR;26,7
3694;3;AM;182
3746;3;VT;135
3746;3;VR;26,7
3746;3;AM;182
3810;3;VT;270
3810;3;VR;26,7
3810;3;AM;182
3838;3;VT;135
3838;3;VR;26,7
3838;3;AM;182
4118;3;VT;270
4118;3;VR;26,7
4118;3;AM;182
4336;3;VR;26,7
4336;3;AM;182
4373;3;VT;135
4373;3;VR;26,7
4373;3;AM;182
4542;3;VT;135
4542;3;VR;26,7
4542;3;AM;182
4542;3;AO;94,6
4951;3;VT;270
4951;3;VR;26,7
4997;3;VT;135
4997;3;VR;26,7
4997;3;AM;182
5039;3;VT;270
5039;3;VR;26,7
4373;3;VT;135
4373;3;VR;26,7
4373;3;AM;182
3838;3;VT;135
3838;3;VR;26,7
3838;3;AM;182
3053;3;VT;135
3053;3;VR;26,7
3053;3;AM;182
3023;4;VT;135
3023;4;VR;26,7
3023;4;AM;182
3053;4;VT;135
3053;4;VR;26,7
3053;4;AM;182
3090;4;VR;26,7
3090;4;AM;182
3090;4;AO;94,6
3136;4;VR;26,7
3136;4;AM;182
3136;4;AO;94,6
3233;4;VT;135
3233;4;VR;26,7
3401;4;VR;26,7
3401;4;AM;182
3401;4;AO;94,6
3521;4;VT;135
3521;4;VR;26,7
3582;4;VT;135
3582;4;VR;26,7
3582;4;VT;135
3582;4;VR;26,7
3694;4;VT;270
3694;4;VR;26,7
3694;4;AM;182
3746;4;VT;135
3746;4;VR;26,7
3746;4;AM;182
3810;4;VT;270
3810;4;VR;26,7
3810;4;AM;182
3838;4;VT;135
3838;4;VR;26,7
3838;4;AM;182
4118;4;VT;270
4118;4;VR;26,7
4118;4;AM;182
4336;4;VR;26,7
4336;4;AM;182
4373;4;VT;135
4373;4;VR;26,7
4373;4;AM;182
4503;4;VT;135
4503;4;VR;26,7
4503;4;AM;182
4542;4;VT;135
4542;4;VR;26,7
4542;4;AM;182
4542;4;AO;94,6
4942;4;VT;135
4942;4;VR;26,7
4942;4;AM;182
4951;4;VT;270
4951;4;VR;26,7
4997;4;VT;135
4997;4;VR;26,7
4997;4;AM;182
5039;4;VT;270
5039;4;VR;26,7
4503;4;VT;135
4503;4;VR;26,7
4503;4;AM;182
4942;4;VT;135
4942;4;VR;26,7
4942;4;AM;182
3023;5;VT;135
3023;5;VR;26,7
3023;5;AM;182
3053;5;VT;135
3053;5;VR;26,7
3053;5;AM;182
3090;5;VR;26,7
3090;5;AM;182
3090;5;AO;94,6
3136;5;VR;26,7
3136;5;AM;182
3136;5;AO;94,6
3233;5;VT;135
3233;5;VR;26,7
3401;5;VR;26,7
3401;5;AM;182
3401;5;AO;94,6
3521;5;VT;135
3521;5;VR;26,7
3582;5;VT;135
3582;5;VR;26,7
3694;5;VT;270
3694;5;VR;26,7
3694;5;AM;182
3746;5;VT;135
3746;5;VR;26,7
3746;5;AM;182
3810;5;VT;270
3810;5;VR;26,7
3810;5;AM;182
3838;5;VT;135
3838;5;VR;26,7
3838;5;AM;182
4118;5;VT;270
4118;5;VR;26,7
4118;5;AM;182
4336;5;VR;26,7
4336;5;AM;182
4373;5;VT;135
4373;5;VR;26,7
4373;5;AM;182
4503;5;VT;135
4503;5;VR;26,7
4503;5;AM;182
4542;5;VT;135
4542;5;VR;26,7
4542;5;AM;182
4542;5;AO;94,6
4942;5;VT;135
4942;5;VR;26,7
4942;5;AM;182
4951;5;VT;270
4951;5;VR;26,7
4997;5;VT;135
4997;5;VR;26,7
4997;5;AM;182
5039;5;VT;270
5039;5;VR;26,7
3023;6;VT;135
3023;6;VR;26,7
3023;6;AM;182
3053;6;VT;135
3053;6;VR;26,7
3053;6;AM;182
3090;6;VR;26,7
3090;6;AM;182
3090;6;AO;94,6
3136;6;VR;26,7
3136;6;AM;182
3136;6;AO;94,6
3233;6;VT;135
3233;6;VR;26,7
3293;6;VT;135
3293;6;VR;26,7
3293;6;AM;182
3293;6;AO;94,6
3401;6;VR;26,7
3401;6;AM;182
3401;6;AO;94,6
3521;6;VT;135
3521;6;VR;26,7
3582;6;VT;135
3582;6;VR;26,7
3694;6;VT;270
3694;6;VR;26,7
3694;6;AM;182
3721;6;VT;270
3721;6;VR;26,7
3721;6;AM;182
3746;6;VT;135
3746;6;VR;26,7
3746;6;AM;182
3810;6;VT;270
3810;6;VR;26,7
3810;6;AM;182
3838;6;VT;135
3838;6;VR;26,7
3838;6;AM;182
3877;6;VT;270
3877;6;VR;26,7
3877;6;AM;182
4118;6;VT;270
4118;6;VR;26,7
4118;6;AM;182
4336;6;VR;26,7
4336;6;AM;182
4373;6;VT;135
4373;6;VR;26,7
4373;6;AM;182
4503;6;VT;135
4503;6;VR;26,7
4503;6;AM;182
4542;6;VT;135
4542;6;VR;26,7
4542;6;AM;182
4542;6;AO;94,6
4549;6;VT;270
4549;6;VR;26,7
4549;6;AM;182
4942;6;VT;135
4942;6;VR;26,7
4942;6;AM;182
4951;6;VT;270
4951;6;VR;26,7
4997;6;VT;135
4997;6;VR;26,7
4997;6;AM;182
5039;6;VT;270
5039;6;VR;26,7
3293;6;VT;135
3293;6;VR;26,7
3293;6;AM;182
3293;6;AO;94,6
4549;6;VT;270
4549;6;VR;26,7
4549;6;AM;182
3721;6;VT;270
3721;6;VR;26,7
3721;6;AM;182
3877;6;VT;270
3877;6;VR;26,7
3877;6;AM;182
3023;7;VT;135
3023;7;VR;26,7
3023;7;AM;182
3053;7;VT;135
3053;7;VR;26,7
3053;7;AM;182
3090;7;VR;26,7
3090;7;AM;182
3090;7;AO;94,6
3136;7;VR;26,7
3136;7;AM;182
3136;7;AO;94,6
3233;7;VT;135
3233;7;VR;26,7
3293;7;VT;135
3293;7;VR;26,7
3293;7;AM;182
3293;7;AO;94,6
3401;7;VR;26,7
3401;7;AM;182
3401;7;AO;94,6
3521;7;VT;135
3521;7;VR;26,7
3582;7;VT;135
3582;7;VR;26,7
3694;7;VT;270
3694;7;VR;26,7
3694;7;AM;182
3721;7;VT;270
3721;7;VR;26,7
3721;7;AM;182
3746;7;VT;135
3746;7;VR;26,7
3746;7;AM;182
3810;7;VT;270
3810;7;VR;26,7
3810;7;AM;182
3838;7;VT;135
3838;7;VR;26,7
3838;7;AM;182
3877;7;VT;270
3877;7;VR;26,7
3877;7;AM;182
4118;7;VT;270
4118;7;VR;26,7
4118;7;AM;182
4336;7;VR;26,7
4336;7;AM;182
4373;7;VT;135
4373;7;VR;26,7
4373;7;AM;182
4503;7;VT;135
4503;7;VR;26,7
4503;7;AM;182
4542;7;VT;135
4542;7;VR;26,7
4542;7;AM;182
4542;7;AO;94,6
4549;7;VT;270
4549;7;VR;26,7
4549;7;AM;182
4942;7;VT;135
4942;7;VR;26,7
4942;7;AM;182
4951;7;VT;270
4951;7;VR;26,7
4997;7;VT;135
4997;7;VR;26,7
4997;7;AM;182
5039;7;VT;270
5039;7;VR;26,7
3023;8;VT;135
3023;8;VR;26,7
3023;8;AM;182
3053;8;VT;135
3053;8;VR;26,7
3053;8;AM;182
3090;8;VR;26,7
3090;8;AM;182
3090;8;AO;94,6
3136;8;VR;26,7
3136;8;AM;182
3136;8;AO;94,6
3233;8;VT;135
3233;8;VR;26,7
3253;8;VT;270
3253;8;VR;26,7
3253;8;AM;182
3293;8;VT;135
3293;8;VR;26,7
3293;8;AM;182
3293;8;AO;94,6
3401;8;VR;26,7
3401;8;AM;182
3401;8;AO;94,6
3521;8;VT;135
3521;8;VR;26,7
3573;8;VT;270
3573;8;VR;26,7
3573;8;AM;182
3582;8;VT;135
3582;8;VR;26,7
3694;8;VT;270
3694;8;VR;26,7
3694;8;AM;182
3721;8;VT;270
3721;8;VR;26,7
3721;8;AM;182
3746;8;VT;135
3746;8;VR;26,7
3746;8;AM;182
3810;8;VT;270
3810;8;VR;26,7
3810;8;AM;182
3838;8;VT;135
3838;8;VR;26,7
3838;8;AM;182
3877;8;VT;270
3877;8;VR;26,7
3877;8;AM;182
4118;8;VT;270
4118;8;VR;26,7
4118;8;AM;182
4336;8;VR;26,7
4336;8;AM;182
4373;8;VT;135
4373;8;VR;26,7
4373;8;AM;182
4503;8;VT;135
4503;8;VR;26,7
4503;8;AM;182
4542;8;VT;135
4542;8;VR;26,7
4542;8;AM;182
4542;8;AO;94,6
4549;8;VT;270
4549;8;VR;26,7
4549;8;AM;182
4942;8;VT;135
4942;8;VR;26,7
4942;8;AM;182
4951;8;VT;270
4951;8;VR;26,7
4997;8;VT;135
4997;8;VR;26,7
4997;8;AM;182
5039;8;VT;270
5039;8;VR;26,7
3253;8;VT;270
3253;8;VR;26,7
3253;8;AM;182
3573;8;VT;270
3573;8;VR;26,7
3573;8;AM;182
3023;9;VT;135
3023;9;VR;26,7
3023;9;AM;182
3053;9;VT;135
3053;9;VR;26,7
3053;9;AM;182
3090;9;VR;26,7
3090;9;AM;182
3090;9;AO;94,6
3120;9;VT;135
3120;9;VR;26,7
3120;9;AM;182
3136;9;VR;26,7
3136;9;AM;182
3136;9;AO;94,6
3233;9;VT;135
3233;9;VR;26,7
3253;9;VT;270
3253;9;VR;26,7
3253;9;AM;182
3293;9;VT;135
3293;9;VR;26,7
3293;9;AM;182
3293;9;AO;94,6
3401;9;VR;26,7
3401;9;AM;182
3401;9;AO;94,6
3521;9;VT;135
3521;9;VR;26,7
3573;9;VT;270
3573;9;VR;26,7
3573;9;AM;182
3582;9;VT;135
3582;9;VR;26,7
3694;9;VT;270
3694;9;VR;26,7
3694;9;AM;182
3721;9;VT;270
3721;9;VR;26,7
3721;9;AM;182
3746;9;VT;135
3746;9;VR;26,7
3746;9;AM;182
3810;9;VT;270
3810;9;VR;26,7
3810;9;AM;182
3838;9;VT;135
3838;9;VR;26,7
3838;9;AM;182
3877;9;VT;270
3877;9;VR;26,7
3877;9;AM;182
3926;9;VT;135
3926;9;VR;26,7
3926;9;AM;182
4118;9;VT;270
4118;9;VR;26,7
4118;9;AM;182
4336;9;VR;26,7
4336;9;AM;182
4373;9;VT;135
4373;9;VR;26,7
4373;9;AM;182
4503;9;VT;135
4503;9;VR;26,7
4503;9;AM;182
4542;9;VT;135
4542;9;VR;26,7
4542;9;AM;182
4542;9;AO;94,6
4549;9;VT;270
4549;9;VR;26,7
4549;9;AM;182
4942;9;VT;135
4942;9;VR;26,7
4942;9;AM;182
4951;9;VT;270
4951;9;VR;26,7
4997;9;VT;135
4997;9;VR;26,7
4997;9;AM;182
5039;9;VT;270
5039;9;VR;26,7
3926;9;VT;135
3926;9;VR;26,7
3926;9;AM;182
3120;9;VT;135
3120;9;VR;26,7
3120;9;AM;182
3023;10;VT;135
3023;10;VR;26,7
3023;10;AM;182
3053;10;VT;135
3053;10;VR;26,7
3053;10;AM;182
3090;10;VR;26,7
3090;10;AM;182
