Ano 2018;;;
;;;
Matricula;Mês/Ano;Lançamento;Valor
3023;1;VT;135
3023;1;VR;26,7
3023;1;AM;182
3053;1;VT;135
3053;1;VR;26,7
3053;1;AM;182
3090;1;VR;26,7
3090;1;AM;182
3090;1;AO;94,6
3120;1;VT;135
3120;1;VR;26,7
3120;1;AM;182
3124;1;VT;270
3124;1;VR;26,7
3136;1;VR;26,7
3136;1;AM;182
3136;1;AO;94,6
3164;1;VT;135
3164;1;VR;26,7
3171;1;VT;270
3171;1;VR;26,7
3171;1;AM;182
3233;1;VT;135
3233;1;VR;26,7
3253;1;VT;270
3253;1;VR;26,7
3253;1;AM;182
3280;1;VT;270
3280;1;VR;26,7
3280;1;AM;182
3293;1;VT;135
3293;1;VR;26,7
3293;1;AM;182
3293;1;AO;94,6
3389;1;VT;270
3389;1;VR;26,7
3389;1;AM;182
3401;1;VR;26,7
3401;1;AM;182
3401;1;AO;94,6
3462;1;VT;135
3462;1;VR;26,7
3462;1;AM;182
3483;1;VT;270
3483;1;VR;26,7
3483;1;AM;182
3521;1;VT;135
3521;1;VR;26,7
3571;1;VT;270
3571;1;VR;26,7
3571;1;AM;182
3573;1;VT;270
3573;1;VR;26,7
3573;1;AM;182
3582;1;VT;135
3582;1;VR;26,7
3686;1;VT;135
3686;1;VR;26,7
3686;1;AM;182
3694;1;VT;270
3694;1;VR;26,7
3694;1;AM;182
3714;1;VT;135
3714;1;VR;26,7
3721;1;VT;270
3721;1;VR;26,7
3721;1;AM;182
3746;1;VT;135
3746;1;VR;26,7
3746;1;AM;182
3748;1;VT;270
3748;1;VR;26,7
3810;1;VT;270
3810;1;VR;26,7
3810;1;AM;182
3838;1;VT;135
3838;1;VR;26,7
3838;1;AM;182
3877;1;VT;270
3877;1;VR;26,7
3877;1;AM;182
3926;1;VT;135
3926;1;VR;26,7
3926;1;AM;182
3944;1;VT;135
3944;1;VR;26,7
3944;1;AM;182
3944;1;AO;94,6
3971;1;VT;135
3971;1;VR;26,7
3971;1;AM;182
4118;1;VT;270
4118;1;VR;26,7
4118;1;AM;182
4170;1;VT;135
4170;1;VR;26,7
4170;1;AM;182
4236;1;VT;135
4236;1;VR;26,7
4236;1;AM;182
4236;1;AO;94,6
4336;1;VR;26,7
4336;1;AM;182
4342;1;VR;26,7
4342;1;AM;182
4373;1;VT;135
4373;1;VR;26,7
4373;1;AM;182
4472;1;VT;270
4472;1;VR;26,7
4472;1;AM;182
4483;1;VT;270
4483;1;VR;26,7
4483;1;AM;182
4503;1;VT;135
4503;1;VR;26,7
4503;1;AM;182
4542;1;VT;135
4542;1;VR;26,7
4542;1;AM;182
4542;1;AO;94,6
4549;1;VT;270
4549;1;VR;26,7
4549;1;AM;182
4662;1;VT;270
4662;1;VR;26,7
4662;1;AM;182
4670;1;VT;135
4670;1;VR;26,7
4806;1;VT;135
4806;1;VR;26,7
4806;1;AM;182
4942;1;VT;135
4942;1;VR;26,7
4942;1;AM;182
4951;1;VT;270
4951;1;VR;26,7
4988;1;VR;26,7
4997;1;VT;135
4997;1;VR;26,7
4997;1;AM;182
5039;1;VT;270
5039;1;VR;26,7
5053;1;VT;270
5053;1;VR;26,7
5053;1;AM;182
5059;1;VT;135
5059;1;VR;26,7
5059;1;AM;182
3023;2;VT;135
3023;2;VR;26,7
3023;2;AM;182
3053;2;VT;135
3053;2;VR;26,7
3053;2;AM;182
3090;2;VR;26,7
3090;2;AM;182
3090;2;AO;94,6
3120;2;VT;135
3120;2;VR;26,7
3120;2;AM;182
3124;2;VT;270
3124;2;VR;26,7
3132;2;VT;270
3132;2;VR;26,7
3132;2;AM;182
3136;2;VR;26,7
3136;2;AM;182
3136;2;AO;94,6
3164;2;VT;135
3164;2;VR;26,7
3171;2;VT;270
3171;2;VR;26,7
3171;2;AM;182
3233;2;VT;135
3233;2;VR;26,7
3253;2;VT;270
3253;2;VR;26,7
3253;2;AM;182
3280;2;VT;270
3280;2;VR;26,7
3280;2;AM;182
3293;2;VT;135
3293;2;VR;26,7
3293;2;AM;182
3293;2;AO;94,6
3389;2;VT;270
3389;2;VR;26,7
3389;2;AM;182
3401;2;VR;26,7
3401;2;AM;182
3401;2;AO;94,6
3462;2;VT;135
3462;2;VR;26,7
3462;2;AM;182
3483;2;VT;270
3483;2;VR;26,7
3483;2;AM;182
3521;2;VT;135
3521;2;VR;26,7
3571;2;VT;270
3571;2;VR;26,7
3571;2;AM;182
3573;2;VT;270
3573;2;VR;26,7
3573;2;AM;182
3582;2;VT;135
3582;2;VR;26,7
3686;2;VT;135
3686;2;VR;26,7
3686;2;AM;182
3694;2;VT;270
3694;2;VR;26,7
3694;2;AM;182
3714;2;VT;135
3714;2;VR;26,7
3721;2;VT;270
3721;2;VR;26,7
3721;2;AM;182
3746;2;VT;135
3746;2;VR;26,7
3746;2;AM;182
3748;2;VT;270
3748;2;VR;26,7
3810;2;VT;270
3810;2;VR;26,7
3810;2;AM;182
3838;2;VT;135
3838;2;VR;26,7
3838;2;AM;182
3877;2;VT;270
3877;2;VR;26,7
3877;2;AM;182
3926;2;VT;135
3926;2;VR;26,7
3926;2;AM;182
3944;2;VT;135
3944;2;VR;26,7
3944;2;AM;182
3944;2;AO;94,6
3971;2;VT;135
3971;2;VR;26,7
3971;2;AM;182
4118;2;VT;270
4118;2;VR;26,7
4118;2;AM;182
4170;2;VT;135
4170;2;VR;26,7
4170;2;AM;182
4236;2;VT;135
4236;2;VR;26,7
4236;2;AM;182
4236;2;AO;94,6
4336;2;VR;26,7
4336;2;AM;182
4342;2;VR;26,7
4342;2;AM;182
4373;2;VT;135
4373;2;VR;26,7
4373;2;AM;182
4472;2;VT;270
4472;2;VR;26,7
4472;2;AM;182
4483;2;VT;270
4483;2;VR;26,7
4483;2;AM;182
4503;2;VT;135
4503;2;VR;26,7
4503;2;AM;182
4542;2;VT;135
4542;2;VR;26,7
4542;2;AM;182
4542;2;AO;94,6
4549;2;VT;270
4549;2;VR;26,7
4549;2;AM;182
4662;2;VT;270
4662;2;VR;26,7
4662;2;AM;182
4670;2;VT;135
4670;2;VR;26,7
4806;2;VT;135
4806;2;VR;26,7
4806;2;AM;182
4942;2;VT;135
4942;2;VR;26,7
4942;2;AM;182
4951;2;VT;270
4951;2;VR;26,7
4988;2;VR;26,7
4993;2;VT;135
4993;2;VR;26,7
4993;2;AM;182
4997;2;VT;135
4997;2;VR;26,7
4997;2;AM;182
5039;2;VT;270
5039;2;VR;26,7
5053;2;VT;270
5053;2;VR;26,7
5053;2;AM;182
5059;2;VT;135
5059;2;VR;26,7
5059;2;AM;182
4993;2;VT;135
4993;2;VR;26,7
4993;2;AM;182
3132;2;VT;270
3132;2;VR;26,7
3132;2;AM;182
3023;3;VT;135
3023;3;VR;26,7
3023;3;AM;182
3053;3;VT;135
3053;3;VR;26,7
3053;3;AM;182
3090;3;VR;26,7
3090;3;AM;182
3090;3;AO;94,6
3120;3;VT;135
3120;3;VR;26,7
3120;3;AM;182
3124;3;VT;270
3124;3;VR;26,7
3132;3;VT;270
3132;3;VR;26,7
3132;3;AM;182
3136;3;VR;26,7
3136;3;AM;182
3136;3;AO;94,6
3164;3;VT;135
3164;3;VR;26,7
3171;3;VT;270
3171;3;VR;26,7
3171;3;AM;182
3233;3;VT;135
3233;3;VR;26,7
3253;3;VT;270
3253;3;VR;26,7
3253;3;AM;182
3280;3;VT;270
3280;3;VR;26,7
3280;3;AM;182
3293;3;VT;135
3293;3;VR;26,7
3293;3;AM;182
3293;3;AO;94,6
3389;3;VT;270
3389;3;VR;26,7
3389;3;AM;182
3401;3;VR;26,7
3401;3;AM;182
3401;3;AO;94,6
3462;3;VT;135
3462;3;VR;26,7
3462;3;AM;182
3483;3;VT;270
3483;3;VR;26,7
3483;3;AM;182
3521;3;VT;135
3521;3;VR;26,7
3534;3;VT;135
3534;3;VR;26,7
3534;3;AM;182
3534;3;AO;94,6
3571;3;VT;270
3571;3;VR;26,7
3571;3;AM;182
3573;3;VT;270
3573;3;VR;26,7
3573;3;AM;182
3582;3;VT;135
3582;3;VR;26,7
3686;3;VT;135
3686;3;VR;26,7
3686;3;AM;182
3694;3;VT;270
3694;3;VR;26,7
3694;3;AM;182
3714;3;VT;135
3714;3;VR;26,7
3721;3;VT;270
3721;3;VR;26,7
3721;3;AM;182
3746;3;VT;135
3746;3;VR;26,7
3746;3;AM;182
3748;3;VT;270
3748;3;VR;26,7
3810;3;VT;270
3810;3;VR;26,7
3810;3;AM;182
3838;3;VT;135
3838;3;VR;26,7
3838;3;AM;182
3877;3;VT;270
3877;3;VR;26,7
3877;3;AM;182
3926;3;VT;135
3926;3;VR;26,7
3926;3;AM;182
3944;3;VT;135
3944;3;VR;26,7
3944;3;AM;182
3944;3;AO;94,6
3971;3;VT;135
3971;3;VR;26,7
3971;3;AM;182
4118;3;VT;270
4118;3;VR;26,7
4118;3;AM;182
4170;3;VT;135
4170;3;VR;26,7
4170;3;AM;182
4236;3;VT;135
4236;3;VR;26,7
4236;3;AM;182
4236;3;AO;94,6
4336;3;VR;26,7
4336;3;AM;182
4342;3;VR;26,7
4342;3;AM;182
4373;3;VT;135
4373;3;VR;26,7
4373;3;AM;182
4472;3;VT;270
4472;3;VR;26,7
4472;3;AM;182
4483;3;VT;270
4483;3;VR;26,7
4483;3;AM;182
4503;3;VT;135
4503;3;VR;26,7
4503;3;AM;182
4542;3;VT;135
4542;3;VR;26,7
4542;3;AM;182
4542;3;AO;94,6
4549;3;VT;270
4549;3;VR;26,7
4549;3;AM;182
4662;3;VT;270
4662;3;VR;26,7
4662;3;AM;182
4670;3;VT;135
4670;3;VR;26,7
4806;3;VT;135
4806;3;VR;26,7
4806;3;AM;182
4942;3;VT;135
4942;3;VR;26,7
4942;3;AM;182
4951;3;VT;270
4951;3;VR;26,7
4988;3;VR;26,7
4993;3;VT;135
4993;3;VR;26,7
4993;3;AM;182
4997;3;VT;135
4997;3;VR;26,7
4997;3;AM;182
5039;3;VT;270
5039;3;VR;26,7
5053;3;VT;270
5053;3;VR;26,7
5053;3;AM;182
5059;3;VT;135
5059;3;VR;26,7
5059;3;AM;182
3534;3;VT;135
3534;3;VR;26,7
3534;3;AM;182
3534;3;AO;94,6
3023;4;VT;135
3023;4;VR;26,7
3023;4;AM;182
3053;4;VT;135
3053;4;VR;26,7
3053;4;AM;182
3090;4;VR;26,7
3090;4;AM;182
3090;4;AO;94,6
3120;4;VT;135
3120;4;VR;26,7
3120;4;AM;182
3124;4;VT;270
3124;4;VR;26,7
3132;4;VT;270
3132;4;VR;26,7
3132;4;AM;182
3136;4;VR;26,7
3136;4;AM;182
3136;4;AO;94,6
3164;4;VT;135
3164;4;VR;26,7
3171;4;VT;270
3171;4;VR;26,7
3171;4;AM;182
3233;4;VT;135
3233;4;VR;26,7
3237;4;VT;270
3237;4;VR;26,7
3237;4;AM;182
3253;4;VT;270
3253;4;VR;26,7
3253;4;AM;182
3280;4;VT;270
3280;4;VR;26,7
3280;4;AM;182
3293;4;VT;135
3293;4;VR;26,7
3293;4;AM;182
3293;4;AO;94,6
3389;4;VT;270
3389;4;VR;26,7
3389;4;AM;182
3401;4;VR;26,7
3401;4;AM;182
3401;4;AO;94,6
3462;4;VT;135
3462;4;VR;26,7
3462;4;AM;182
3483;4;VT;270
3483;4;VR;26,7
3483;4;AM;182
3521;4;VT;135
3521;4;VR;26,7
3534;4;VT;135
3534;4;VR;26,7
3534;4;AM;182
3534;4;AO;94,6
3571;4;VT;270
3571;4;VR;26,7
3571;4;AM;182
3573;4;VT;270
3573;4;VR;26,7
3573;4;AM;182
3582;4;VT;135
3582;4;VR;26,7
3686;4;VT;135
3686;4;VR;26,7
3686;4;AM;182
3694;4;VT;270
3694;4;VR;26,7
3694;4;AM;182
3714;4;VT;135
3714;4;VR;26,7
3721;4;VT;270
3721;4;VR;26,7
3721;4;AM;182
3746;4;VT;135
3746;4;VR;26,7
3746;4;AM;182
3748;4;VT;270
3748;4;VR;26,7
3810;4;VT;270
3810;4;VR;26,7
3810;4;AM;182
3838;4;VT;135
3838;4;VR;26,7
3838;4;AM;182
3877;4;VT;270
3877;4;VR;26,7
3877;4;AM;182
3926;4;VT;135
3926;4;VR;26,7
3926;4;AM;182
3944;4;VT;135
3944;4;VR;26,7
3944;4;AM;182
3944;4;AO;94,6
3971;4;VT;135
3971;4;VR;26,7
3971;4;AM;182
4118;4;VT;270
4118;4;VR;26,7
4118;4;AM;182
4170;4;VT;135
4170;4;VR;26,7
4170;4;AM;182
4236;4;VT;135
4236;4;VR;26,7
4236;4;AM;182
4236;4;AO;94,6
4336;4;VR;26,7
4336;4;AM;182
4342;4;VR;26,7
4342;4;AM;182
4373;4;VT;135
4373;4;VR;26,7
4373;4;AM;182
4472;4;VT;270
4472;4;VR;26,7
4472;4;AM;182
4483;4;VT;270
4483;4;VR;26,7
4483;4;AM;182
4503;4;VT;135
4503;4;VR;26,7
4503;4;AM;182
4542;4;VT;135
4542;4;VR;26,7
4542;4;AM;182
4542;4;AO;94,6
4549;4;VT;270
